48 114
	$program	$expr	$expr_and_or	$expr_cmp	$expr_add_sub	$expr_mul_div	$expr_unar	$function	$list_arg	$call_function_arg	$list_function	$block	$line	$cmd	$	and	or	==	!=	>	>=	<	<=	+	-	*	/	%	variable	number	(	)	not	=	function	,	{	}	;	if	else	while	do	for	return	break	continue	print	
38	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	r40	
39	.	.	.	s69	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
40	.	.	.	s70	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
41	.	.	.	.	s71	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
42	.	.	.	.	s72	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
43	.	.	.	.	s73	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
44	.	.	.	.	s74	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
45	.	.	.	.	s75	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
46	.	.	.	.	s76	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
47	.	.	.	.	.	s77	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
48	.	.	.	.	.	s78	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
49	.	.	.	.	.	.	s79	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
50	.	.	.	.	.	.	s80	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
51	.	.	.	.	.	.	s81	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
52	.	s84	s16	s17	s18	s19	s20	.	.	s83	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	s82	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53	.	.	s85	s17	s18	s19	s20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s25	s26	.	.	.	s21	s22	s23	.	s24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
54	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s47	s48	.	.	.	.	.	.	s86	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
55	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	
